 0,-0.10657,0.15937,-0.99610,0.87122
 0,-0.24818,0.17769,-0.99742,0.87379
 0,0.89657,-0.12693,-0.99961,0.87470
 0,-0.20294,-0.05700,-0.99974,0.86910
 0,0.32938,0.09594,-0.99991,0.87428
 0,0.77803,-0.65625,-0.99991,0.86929
 0,-0.39143,0.42583,-0.99978,0.87530
 0,-0.33967,0.31538,-0.99987,0.86675
 0,-0.39608,0.46647,-0.99799,0.87159
 0,-0.64984,0.71647,-0.99965,0.88124
 1,-0.60017,-0.07108,-0.99827,0.88187
 1,0.50937,0.33819,-0.99907,0.87981
 1,-0.80841,0.86973,-0.99947,0.87871
 1,-0.42828,-0.99141,-0.99847,0.87336
 1,-0.41137,0.67646,-0.99964,0.87412
 1,-0.85003,0.99307,-0.99986,0.87599
 1,-0.09408,0.72507,-0.99859,0.87748
 1,0.86177,0.01282,-0.99905,0.87721
 1,0.26900,0.28978,-0.99766,0.87233
 1,-0.25401,0.62022,-0.99970,0.87745
 2,0.05195,0.16114,-0.99543,0.87695
 2,-0.05266,-0.08919,-0.99709,0.87740
 2,0.98742,-0.19369,-0.99983,0.87795
 2,-0.30014,0.66676,-0.99993,0.86973
 2,0.88771,0.12524,-0.99996,0.88468
 2,0.90659,-0.20966,-0.99997,0.87631
 2,0.81291,0.25565,-0.99976,0.88417
 2,0.99697,-0.03433,-0.99991,0.87292
 2,0.66470,0.71167,-0.99565,0.87314
 2,0.07058,0.65391,-0.99925,0.88461
 3,-0.19028,0.25827,-0.99459,0.87979
 3,-0.42783,0.21152,-0.99608,0.87965
 3,0.91589,0.19237,-0.99957,0.87960
 3,-0.44664,0.69040,-0.99970,0.87533
 3,0.21934,0.50827,-0.99991,0.88317
 3,0.68121,-0.29261,-0.99991,0.88185
 3,-0.10528,0.46029,-0.99974,0.88121
 3,0.55326,0.42250,-0.99988,0.87265
 3,-0.03467,0.57995,-0.99780,0.87406
 3,-0.44774,0.75933,-0.99956,0.88303
 4,-0.62618,0.64868,-0.99642,0.88229
 4,-0.49440,0.26627,-0.99802,0.88415
 4,-0.17937,0.64520,-0.99965,0.88452
 4,-0.71562,0.50446,-0.99930,0.87865
 4,-0.01521,0.76271,-0.99992,0.88503
 4,-0.85294,0.98075,-0.99993,0.88963
 4,0.71247,0.40667,-0.99982,0.88419
 4,0.98479,0.64574,-0.99990,0.87733
 4,0.70403,0.34481,-0.99879,0.87516
 4,0.40977,0.29823,-0.99970,0.88029
 5,-0.46024,0.32968,-0.99583,0.87595
 5,-0.12815,0.11436,-0.99760,0.87450
 5,-0.50661,0.32527,-0.99954,0.87296
 5,-0.35799,-0.08759,-0.99918,0.86842
 5,-0.41080,0.66254,-0.99980,0.87248
 5,-0.48046,0.18243,-0.99973,0.87326
 5,-0.04512,0.45666,-0.99969,0.88220
 5,0.34959,0.38651,-0.99971,0.87684
 5,0.05665,-0.15692,-0.99896,0.87636
 5,-0.26303,0.69159,-0.99986,0.88211
 6,-0.66944,0.10866,-0.99879,0.88096
 6,0.43423,0.41005,-0.99940,0.88018
 6,-0.87565,0.84734,-0.99992,0.87799
 6,-0.54306,-0.98686,-0.99974,0.87668
 6,-0.67392,0.61228,-0.99994,0.87337
 6,-0.91005,0.96096,-0.99998,0.87671
 6,-0.34402,0.59159,-0.99951,0.88183
 6,0.20685,0.45922,-0.99970,0.87280
 6,-0.01222,0.11744,-0.99555,0.87633
 6,-0.37317,0.46290,-0.99915,0.88490
 7,-0.46540,0.31271,-0.99741,0.86776
 7,-0.01863,0.30391,-0.99798,0.87389
 7,-0.43791,0.45679,-0.99836,0.87186
 7,-0.46487,-0.45518,-0.99779,0.86518
 7,0.20417,0.68996,-0.99989,0.87582
 7,-0.92996,0.99817,-0.99994,0.87320
 7,0.93100,0.04855,-0.99978,0.88139
 7,0.99968,-0.10638,-0.99993,0.87544
 7,0.95039,0.14582,-0.99899,0.87413
 7,0.85282,-0.19254,-0.99973,0.88125
 8,-0.29271,0.33529,-0.99743,0.88319
 8,-0.08414,0.17510,-0.99755,0.87995
 8,0.74315,0.05591,-0.99961,0.88088
 8,-0.57673,-0.29966,-0.99953,0.88007
 8,0.51657,0.24497,-0.99991,0.88387
 8,-0.47855,0.85951,-0.99994,0.88251
 8,0.85483,0.11368,-0.99978,0.88103
 8,0.99686,0.38028,-0.99989,0.87780
